book_id	isbn	title	author	publisher	total_pages	cover_url
b203	9788937461224	나사의 회전	헨리 제임스	민음사	209	https://image.aladin.co.kr/product/57/46/cover500/8937461226_2.jpg
b204	9788937461231	피츠제럴드 단편선 1	프랜시스 스콧 피츠제럴드	민음사	408	https://image.aladin.co.kr/product/57/83/cover500/8937461234_3.jpg
b205	9788937461248	목화밭의 고독 속에서	베르나르마리 콜테스	민음사	180	https://image.aladin.co.kr/product/58/60/cover500/8937461242_3.jpg
b206	9788937461262	라셀라스	새뮤얼 존슨	민음사	283	https://image.aladin.co.kr/product/59/14/cover500/8937461269_3.jpg
b207	9788937461279	리어 왕	윌리엄 셰익스피어	민음사	228	https://image.aladin.co.kr/product/60/14/cover500/8937461277_2.jpg
b208	9788937461293	쿠오 바디스 2	헨릭 시엔키에비츠	민음사	541	https://image.aladin.co.kr/product/60/93/cover500/8937461293_2.jpg
b209	9788937461309	자기만의 방·3기니	버지니아 울프	민음사	502	https://image.aladin.co.kr/product/61/66/cover500/8937461307_3.jpg
b210	9788937461316	시르트의 바닷가	줄리앙 그라크	민음사	479	https://image.aladin.co.kr/product/62/36/cover500/8937461315_2.jpg
b211	9788937461323	이성과 감성	제인 오스틴	민음사	519	https://image.aladin.co.kr/product/63/73/cover500/8937461323_2.jpg
b212	9788937461330	바덴바덴에서의 여름	레오니드 치프킨	민음사	275	https://image.aladin.co.kr/product/64/49/cover500/8937461331_2.jpg
b213	9788937461354	무지개 1	데이비드 허버트 로렌스	민음사	474	https://image.aladin.co.kr/product/87/6/cover500/8937461358_3.jpg
b214	9788937461361	무지개 2	데이비드 허버트 로렌스	민음사	474	https://image.aladin.co.kr/product/87/6/cover500/8937461366_2.jpg
b215	9788937461378	인생의 베일	서머싯 몸	민음사	342	https://image.aladin.co.kr/product/88/15/cover500/8937461374_3.jpg
b216	9788937461385	보이지 않는 도시들	이탈로 칼비노	민음사	222	https://image.aladin.co.kr/product/89/14/cover500/8937461382_2.jpg
b217	9788937461392	연초 도매상 1	존 바스	민음사	531	https://image.aladin.co.kr/product/89/99/cover500/s722931166_1.jpg
b218	9788937461408	연초 도매상 2	존 바스	민음사	520	https://image.aladin.co.kr/product/89/99/cover500/8937461404_2.jpg
b219	9788937461415	연초 도매상 3	존 바스	민음사	625	https://image.aladin.co.kr/product/89/99/cover500/8937461412_2.jpg
b220	9788937461422	플로스 강의 물방앗간 1	조지 엘리엇	민음사	448	https://image.aladin.co.kr/product/90/35/cover500/s937461420_2.jpg
b221	9788937461439	플로스 강의 물방앗간 2	조지 엘리엇	민음사	445	https://image.aladin.co.kr/product/90/35/cover500/s442033930_2.jpg
b222	9788937461446	연인	마르그리트 뒤라스	민음사	153	https://image.aladin.co.kr/product/91/88/cover500/8937461447_2.jpg
b223	9788937461453	이름 없는 주드 1	토머스 하디	민음사	346	https://image.aladin.co.kr/product/91/85/cover500/8937461455_2.jpg
b224	9788937461460	이름 없는 주드 2	토머스 하디	민음사	408	https://image.aladin.co.kr/product/91/85/cover500/8937461463_2.jpg
b225	9788937461477	제49호 품목의 경매	토머스 핀천	민음사	266	https://image.aladin.co.kr/product/93/48/cover500/s492137302_1.jpg
b226	9788937461484	성역	윌리엄 포크너	민음사	440	https://image.aladin.co.kr/product/96/29/cover500/893746148x_2.jpg
b227	9788937461491	무진기행	김승옥	민음사	405	https://image.aladin.co.kr/product/96/57/cover500/8937461498_2.jpg
b228	9788937461507	신곡 - 지옥편	단테 알리기에리	민음사	399	https://image.aladin.co.kr/product/96/57/cover500/s937461501_3.jpg
b229	9788937461521	신곡 - 천국편	단테 알리기에리	민음사	373	https://image.aladin.co.kr/product/96/57/cover500/8937461528_3.jpg
b230	9788937461538	구덩이	안드레이 플라토노프	민음사	249	https://image.aladin.co.kr/product/96/73/cover500/8937461536_2.jpg
b231	9788937461552	카라마조프가의 형제들 2	표도르 도스토옙스키	민음사	479	https://image.aladin.co.kr/product/98/80/cover500/8937461552_3.jpg
b232	9788937461576	지상의 양식	앙드레 지드	민음사	343	https://image.aladin.co.kr/product/99/63/cover500/8937461579_2.jpg
b233	9788937461583	밤의 군대들	노먼 메일러	민음사	447	https://image.aladin.co.kr/product/99/39/cover500/8937461587_2.jpg
b234	9788937461590	주홍 글자	너새니얼 호손	민음사	432	https://image.aladin.co.kr/product/99/95/cover500/8937461595_2.jpg
b235	9788937461606	깊은 강	엔도 슈사쿠	민음사	352	https://image.aladin.co.kr/product/100/33/cover500/8937461609_2.jpg
b236	9788937461613	욕망이라는 이름의 전차	테네시 윌리암스	민음사	182	https://image.aladin.co.kr/product/101/32/cover500/8937461617_2.jpg
b237	9788937461620	마사 퀘스트	도리스 레싱	민음사	480	https://image.aladin.co.kr/product/102/32/cover500/8937461625_2.jpg
b238	9788937461637	운명의 딸 1	이사벨 아옌데	민음사	304	https://image.aladin.co.kr/product/103/14/cover500/8937461633_2.jpg
b239	9788937461651	모렐의 발명	아돌포 비오이 카사레스	민음사	187	https://image.aladin.co.kr/product/169/87/cover500/893746165x_2.jpg
b240	9788937461682	파리의 우울	보들레르	민음사	328	https://image.aladin.co.kr/product/170/42/cover500/8937461684_2.jpg
b241	9788937461699	포스트맨은 벨을 두 번 울린다	제임스 M. 케인	민음사	181	https://image.aladin.co.kr/product/170/76/cover500/8937461692_2.jpg
b242	9788937433832	썩은 잎	가브리엘 가르시아 마르케스	민음사	200	https://image.aladin.co.kr/product/10009/90/cover500/8937433834_1.jpg
b243	9788937461712	모든 것이 산산이 부서지다	치누아 아체베	민음사	280	https://image.aladin.co.kr/product/182/91/cover500/8937461714_2.jpg
b244	9788937461729	한여름 밤의 꿈	윌리엄 셰익스피어	민음사	139	https://image.aladin.co.kr/product/191/28/cover500/8937461722_2.jpg
b245	9788937461736	로미오와 줄리엣	윌리엄 셰익스피어	민음사	200	https://image.aladin.co.kr/product/193/34/cover500/8937461730_2.jpg
b246	9788937461743	분노의 포도 1	존 스타인벡	민음사	496	https://image.aladin.co.kr/product/198/29/cover500/s937461749_1.jpg
b247	9788937461750	분노의 포도 2	존 스타인벡	민음사	508	https://image.aladin.co.kr/product/198/30/cover500/8937461757_3.jpg
b248	9788937461774	괴테와의 대화 2	요한 페터 에커만	민음사	401	https://image.aladin.co.kr/product/214/60/cover500/8937461773_2.jpg
b249	9788937461798	브람스를 좋아하세요...	프랑수아즈 사강	민음사	160	https://image.aladin.co.kr/product/215/66/cover500/s252137206_1.jpg
b250	9788937461804	카타리나 블룸의 잃어버린 명예	하인리히 뵐	민음사	170	https://image.aladin.co.kr/product/222/44/cover500/8937461803_2.jpg
b251	9788937461811	에덴의 동쪽 1	존 스타인벡	민음사	505	https://image.aladin.co.kr/product/235/55/cover500/8937461811_2.jpg
b252	9788937461828	에덴의 동쪽 2	존 스타인벡	민음사	660	https://image.aladin.co.kr/product/235/56/cover500/893746182x_2.jpg
b253	9788937461835	순수의 시대	이디스 워튼	민음사	457	https://image.aladin.co.kr/product/239/45/cover500/8937461838_2.jpg
b254	9788937461842	도둑 일기	장 주네	민음사	428	https://image.aladin.co.kr/product/251/6/cover500/8937461846_2.jpg
b255	9788937461866	캐치-22 1	조지프 헬러	민음사	484	https://image.aladin.co.kr/product/28374/23/cover500/k992835501_1.jpg
b256	9788937461873	캐치-22 2	조지프 헬러	민음사	536	https://image.aladin.co.kr/product/28374/25/cover500/k392835501_1.jpg
b257	9788937461880	숄로호프 단편선	미하일 숄로호프	민음사	292	https://image.aladin.co.kr/product/254/92/cover500/8937461889_2.jpg
b258	9788937461897	말	장폴 사르트르	민음사	308	https://image.aladin.co.kr/product/275/82/cover500/8937461897_3.jpg
b259	9788937461903	보이지 않는 인간 1	랠프 엘리슨	민음사	440	https://image.aladin.co.kr/product/280/17/cover500/8937461900_2.jpg
b260	9788937461910	보이지 않는 인간 2	랠프 엘리슨	민음사	389	https://image.aladin.co.kr/product/280/17/cover500/8937461919_2.jpg
b261	9788937461927	왑샷 가문 연대기	존 치버	민음사	489	https://image.aladin.co.kr/product/292/38/cover500/8937461927_2.jpg
